File ID,File Name,Data Category,Data Type,Project ID,Case ID,Sample ID,Sample Type
c6bd1dd4-4966-4e53-aaf3-30da7d28491d,3dc5db8b-58cf-4e9f-8ed8-35203b61d452.rna_seq.augmented_star_gene_counts.tsv,Transcriptome Profiling,Gene Expression Quantification,TCGA-LUSC,TCGA-60-2714,TCGA-60-2714-01A,Primary Tumor
771fb64d-317e-4eeb-8945-b3446848294a,cb7f1dab-ee8b-4f22-b704-0e868b3a14b5.rna_seq.augmented_star_gene_counts.tsv,Transcriptome Profiling,Gene Expression Quantification,TCGA-LUSC,TCGA-22-0940,TCGA-22-0940-01A,Primary Tumor
9d3f54d7-901f-4861-b015-21d011a40869,a4c0b47f-515a-4578-a6d3-fbf447c5f107.rna_seq.augmented_star_gene_counts.tsv,Transcriptome Profiling,Gene Expression Quantification,TCGA-LUSC,TCGA-66-2789,TCGA-66-2789-01A,Primary Tumor
fb5fc040-9f48-4eb6-89b3-9c0407222201,ca2b737e-2db0-4e74-baee-c0d40ff76382.rna_seq.augmented_star_gene_counts.tsv,Transcriptome Profiling,Gene Expression Quantification,TCGA-LUSC,TCGA-22-4613,TCGA-22-4613-01A,Primary Tumor
354b3238-51a1-4b08-95a8-50fde7e51b13,03ef99c7-55b7-4770-9eac-2ee007aa78ca.rna_seq.augmented_star_gene_counts.tsv,Transcriptome Profiling,Gene Expression Quantification,TCGA-LUSC,TCGA-34-5231,TCGA-34-5231-01A,Primary Tumor
b1af869c-458d-43cb-aed9-f785a8b615b8,f84c095c-92ae-4448-994e-de023c348520.rna_seq.augmented_star_gene_counts.tsv,Transcriptome Profiling,Gene Expression Quantification,TCGA-LUSC,TCGA-77-A5G6,TCGA-77-A5G6-01A,Primary Tumor
c64da734-41f3-4863-90a8-dc9871b7ae02,441b25ca-6ee0-4404-961a-be70c12546a8.rna_seq.augmented_star_gene_counts.tsv,Transcriptome Profiling,Gene Expression Quantification,TCGA-LUSC,TCGA-66-2773,TCGA-66-2773-01A,Primary Tumor
d9865860-a4e5-481f-95e4-3592caf8e33e,12b4c027-7a90-4b09-90b4-b851ba8d667c.rna_seq.augmented_star_gene_counts.tsv,Transcriptome Profiling,Gene Expression Quantification,TCGA-LUSC,TCGA-63-A5MG,TCGA-63-A5MG-01A,Primary Tumor
614cd2d9-e7f9-4247-a38f-f4ac8fd3b484,01c2d483-14b3-4a2e-b31c-c9b18cf68059.rna_seq.augmented_star_gene_counts.tsv,Transcriptome Profiling,Gene Expression Quantification,TCGA-LUSC,TCGA-94-8490,TCGA-94-8490-01A,Primary Tumor
90b9c230-9813-4c8e-b9e7-9018ccd21d28,af58596d-09fc-4190-a9db-62896c0dc494.rna_seq.augmented_star_gene_counts.tsv,Transcriptome Profiling,Gene Expression Quantification,TCGA-LUSC,TCGA-63-A5MU,TCGA-63-A5MU-01A,Primary Tumor
3c03e4c3-c684-40c4-9d0f-9f6e36493ae1,e10c5b73-6716-4222-acba-de1116432daa.rna_seq.augmented_star_gene_counts.tsv,Transcriptome Profiling,Gene Expression Quantification,TCGA-LUSC,TCGA-94-7943,TCGA-94-7943-01A,Primary Tumor
a79328d0-1da2-4a72-a319-2badd03985e3,bcfe99a0-4126-4247-8dcc-c823ce2fdcd5.rna_seq.augmented_star_gene_counts.tsv,Transcriptome Profiling,Gene Expression Quantification,TCGA-LUSC,TCGA-56-8625,TCGA-56-8625-01A,Primary Tumor
88072165-d1e1-4336-98e9-87188c8acc9b,f16c296f-5678-4d02-80fe-1c328ae733fb.rna_seq.augmented_star_gene_counts.tsv,Transcriptome Profiling,Gene Expression Quantification,TCGA-LUSC,TCGA-56-8628,TCGA-56-8628-01A,Primary Tumor
943d7e24-0b89-4ea8-9e86-573a7187a58b,8a19153b-5260-4fb9-939c-a4764bce20b0.rna_seq.augmented_star_gene_counts.tsv,Transcriptome Profiling,Gene Expression Quantification,TCGA-LUSC,TCGA-85-8070,TCGA-85-8070-01A,Primary Tumor
bb947fec-f1b9-4e90-9529-68bcd9dff068,df8be527-65a7-472f-8b77-beb413809525.rna_seq.augmented_star_gene_counts.tsv,Transcriptome Profiling,Gene Expression Quantification,TCGA-LUSC,TCGA-43-7656,TCGA-43-7656-01A,Primary Tumor
69537a05-0fdb-4e2b-8343-ae2169965aed,7c38a399-6670-41d0-87d6-503ba3f39ef7.rna_seq.augmented_star_gene_counts.tsv,Transcriptome Profiling,Gene Expression Quantification,TCGA-LUSC,TCGA-39-5034,TCGA-39-5034-01A,Primary Tumor
041ade4f-0a88-4b1d-8454-08a2bc3cb3c2,e9cd1886-24d4-4589-82b1-f87830f1d1c5.rna_seq.augmented_star_gene_counts.tsv,Transcriptome Profiling,Gene Expression Quantification,TCGA-LUSC,TCGA-22-4599,TCGA-22-4599-01A,Primary Tumor
